|Year|Brand|Company|Date|ProductDescription|Reason|Url|
|2023|Hikma|Hikma Pharmaceuticals PLC|07/22/2024|Acetaminophen Injection 1,000 mg per 100 mL &#x28;10 mg&#x2f;mL&#x29; 100 mL|Drugs|Potential presence of Dexmedetomidine HCL Injection &#x28;400mcg&#x2f;100mL&#x29; inside the overwrap that is labelled Acetaminophen Injection, 1000mg&#x2f;100mL, &#x28;10mg&#x2f;mL&#x29;.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hikma-pharmaceuticals-usa-inc-extends-voluntary-nationwide-recall-one-lot-acetaminophen-injection|
|2023|Stutz Packing Company|Stutz Packing Company|07/22/2024|Shelled Walnuts|Food &#x26; Beverages, Foodborne Illness, Tree Nuts|Potential Foodborne Illness - Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/stutz-packing-co-recalls-walnut-product-because-possible-health-risk|
|2023|Par Pharmaceutical|Endo USA, Inc|07/17/2024|Clonazepam Orally Disintegrating Tablets, USP &#x28;C-IV&#x29; 0.25 mg tablets|Drugs|Mislabeled with the incorrect strength on the carton|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/endo-usa-inc-issues-voluntary-nationwide-recall-one-lot-clonazepam-orally-disintegrating-tablets-usp|
|2023|Infla-650|Guru Inc.|07/16/2024|Infla-650 Herbal Dietary Supplement Capsules|Dietary Supplements, Drugs|Tainted with the drug ingredients&#x3a; acetaminophen, diclofenac and phenylbutazone|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/guru-inc-issues-voluntary-nationwide-recall-infla-650-herbal-dietary-supplement-capsules-due-hidden|
|2023|Wiers Farm|Wiers Farm, Inc.|07/16/2024|whole cucumbers and bagged salad|Food &#x26; Beverages, Foodborne Illness, Vegetable Products|Potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wiers-farm-inc-issues-voluntary-recall-whole-and-salad-cucumbers-due-possible-contamination-listeria|
|2023|Volara|Baxter International Inc.|07/16/2024|Volara system single-patient use circuit and blue ventilator adapter assembly|Medical Devices|Reports of the handset plug disconnecting from the nebulizer port on the blue ventilator adapter|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/baxter-issues-urgent-medical-device-recall-volara-system-single-patient-use-circuit|
|2023|Umary|SoloVital.com|07/15/2024|Umary Acido Hialuronica, Suplemento Alimenticio &#x2013; 30 Capletas de 850mg|Drugs|Tainted with the drug ingredients, diclofenac and omeprazole|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/solovitalcom-issues-voluntary-nationwide-recall-umary-acido-hialuronica-suplemento-alimenticio-850|
|2023|Al&#x2019;Fez|AB World Foods US, Inc.|07/12/2024|Tahini|Food &#x26; Beverages, Foodborne Illness|Potential to be contaminated with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ab-world-foods-us-inc-recalls-alfez-natural-tahini-because-possible-health-risk|
|2023|Supercore Products Group|Supercore Products Group|07/12/2024|Dietary Supplements for Male Sexual Enhancement.|Dietary Supplements|Tainted with Sildenafil and Acetaminophen.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/supercore-products-group-inc-issues-voluntary-worldwide-recall-hard-steel-capsules-gold-hard-steel|
|2023|Baxter|Baxter International, Inc.|07/10/2024|Life2000 Ventilator with an attached battery charger dongle|Medical Devices|Potential Battery Charger Dongle Damage|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/baxter-issues-urgent-medical-device-recall-life2000-ventilator-due-potential-battery-charger-dongle|
|2023|Hill Country Fare|Reser&#x2019;s Fine Foods|07/09/2024|Mustard Potato Salad|Food &#x26; Beverages|Potential Hard Plastic Foreign Material|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/resers-fine-foods-announces-voluntary-recall-hill-country-fare-mustard-potato-salad-use-date-jul2624|
|2023|Urban River Spirits|Urban River Spirits|07/03/2024|Nonalcoholic drink mixes|Food &#x26; Beverages, Foodborne Illness|Potential for under-processing|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/urban-spirits-issues-voluntary-recall-urban-spirits-non-alcoholic-drink-mixes-due-potential-under|
|2023|Sunseed Vita Prima|Vitakraft Sun Seed Inc.|07/01/2024|Hedgehog Food|Animal &#x26; Veterinary, Foodborne Illness, Animal Feed, Food &#x26; Beverages, Foodborne Illness, Animal Feed|Due to potential Salmonella contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/vitakraft-sun-seed-recall-sun-seed-vita-prima-hedgehog-food-due-possible-salmonella-health-risk-0|
|2023|Viva|Viva Raw, LLC|07/01/2024|Raw dog and cat food|Animal &#x26; Veterinary, Foodborne Illness, Animal Feed, Food &#x26; Beverages, Foodborne Illness, Animal Feed|Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/viva-raw-issues-voluntary-recall-dog-and-cat-food-including-select-viva-turkey-recipes-lot-21244-due|
|2023|terrafina|Sunco and Frenchie LLC|06/28/2024|Macadamia in the Raw|Food &#x26; Beverages, Foodborne Illness|Potential Salmonella contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sunco-frenchie-llc-recalls-terrafina-brand-macadamia-raw-because-possible-health-risk|
|2023|Diamond Shruumz|Prophet Premium Blends|06/28/2024|Infused Cones, Chocolate Bars, and Gummies|Food &#x26; Beverages|Toxic levels of muscimol|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/prophet-premium-blends-recalls-diamond-shruumz-products-because-possible-health-risk|
|2023|Solata, Gaia Organic, Full Circle Organic, Farmer Direct, Uncle Vinny&#x2019;s, Bogopa|Solata Foods LLC|06/27/2024|Spinach and salad mixes|Food &#x26; Beverages, Foodborne Illness, Vegetable Products|Potential Listeria monocytogenes contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/solata-foods-recalls-fresh-spinach-and-spinach-products-due-possible-health-risk|
|2023|Blue Point Laboratories|American Health Packaging|06/26/2024|Potassium Chloride Extended Release 750mg Capsules, 100 count and 500 count|Drugs|Failed dissolution|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/american-health-packaging-behalf-bluepoint-laboratories-issues-voluntary-nationwide-recall-potassium|
|2023|Aldi Bake Shop Bakery|FGF Brands Inc.|06/26/2024|Chocolate Chip Muffin 4 count|Food &#x26; Beverages, Allergens|Undeclared Walnut allergen|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fgf-issues-allergy-alert-undeclared-walnuts-aldi-bakeshop-chocolate-chip-muffin-4-count|
|2023|Foppen|Foppen Paling En Zalm B.V.|06/25/2024|Smoked Norwegian Salmon Slices &#x2013; Toast sized, 8.1 oz|Food &#x26; Beverages, Foodborne Illness, Fish|Listeria monocytogenes contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/foppen-seafood-issues-recall-smoked-norwegian-salmon-slices-81oz-toast-sized-sold-kroger-and-payless|
|2023|Feve Artisan Chocolatier x Dandelion Chocolate|Feve Artisan Chocolatier and Dandelion Chocolate|06/25/2024|Chocolate-covered cocoa nibs, 4 oz|Food &#x26; Beverages|Undeclared hazelnut allergen|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/feve-artisan-chocolatier-and-dandelion-chocolate-issue-allergy-alert-undeclared-hazelnuts-chocolate|
|2023|Glenmark|Glenmark Pharmaceuticals, Inc.|06/25/2024|Potassium Chloride Extended Release 750mg Capsules, 100 count and 500 count|Drugs|Failed dissolution|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/glenmark-pharmaceuticals-inc-usa-issues-voluntary-nationwide-recall-potassium-chloride-extended|
|2023|Multiple brand names|Totally Cool, Inc.|06/24/2024|Ice Cream Products|Food &#x26; Beverages, Foodborne Illness, Ice Cream&#x2f;Frozen Dairy|Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/totally-cool-inc-recalls-all-ice-cream-products-because-possible-health-risk|
|2023|DSD Merchandisers, Inc.|DSD Merchandisers, LLC|06/24/2024|Deluxe Roasted &#x26; Salted Mixed Nuts|Food &#x26; Beverages, Allergens, Nuts &#x26; Nut Products|Undeclared Peanut|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dsd-merchandisers-llc-announces-voluntary-recall-deluxe-roasted-salted-mixed-nuts-due-undeclared|
|2023|Wildly Beloved Food|Wildly Beloved Foods|06/24/2024|Dried Orzo and Dried Campanelle|Food &#x26; Beverages, Foodborne Illness|Potential to be contaminated with mold|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wildly-beloved-foods-recalling-orzo-vegan-dried-and-campbell-vegan-dried-due-potential-mold|
|2023|Sunseed Vita Prima|Vitakraft Sun Seed Inc.|06/22/2024|Hedgehog Food|Animal &#x26; Veterinary, Pet Food, Food &#x26; Beverages, Pet Food|Due to potential Salmonella contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/vitakraft-sun-seed-recall-sun-seed-vita-prima-hedgehog-food-due-possible-salmonella-health-risk|
|2023|BARKWORTHIES and BEST BULLY STICKS|TDBBS LLC|06/21/2024|Green Tripe Dog Treats|Animal &#x26; Veterinary|May Contain Metal Objects|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tdbbs-llc-recalls-green-tripe-dog-treats-due-potential-foreign-metal-object-contamination|
|2023|Snapchill|Snapchill LLC|06/20/2024|Coffee Products|Food &#x26; Beverages, Foodborne Illness|Potential to be contaminated with Clostridium botulinum|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/snapchill-llc-recalls-canned-coffee-products-due-potential-clostridium-botulinum|
|2023|Hudson Harvest|Hudson Harvest|06/19/2024|Tomato Basil Sauce|Food &#x26; Beverages, Foodborne Illness|Potentially under processed, which could lead to the potential for spoilage organisms or pathogens|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hudson-harvest-issues-voluntary-recall-tomato-basil-sauce-due-potential-under-processing|
|2023|Heinen&#x2019;s|Heinen&#x2019;s Inc.|06/14/2024|Tuscan Salad Bowl|Food &#x26; Beverages, Allergens|Undeclared Pecans|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/heinens-issues-allergy-alert-undeclared-pecans-heinens-tuscan-salad-bowls|
|2023|Aahu Barah|AAHU BARAH USA INC.|06/13/2024|Apricot roll|Food &#x26; Beverages, Allergens|Undeclared Sulfites|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/aahu-barah-usa-inc-recalls-product-due-undeclared-sulfites|
|2023|Arepas La Mejor|Villa Nueva Interservices LLC|06/13/2024|Corn cake|Food &#x26; Beverages, Allergens|Undeclared milk|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/villa-nueva-interservices-llc-issues-allergy-alert-undeclared-milk-arepas-la-mejor-25-oz-bags-arepa|
|2023|Nature&#x2019;s Wonderland|Penn Herb Company Ltd|06/12/2024|Nature&#x2019;s Wonderland Thyroid Formula|Dietary Supplements|Potential to be contaminated with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/penn-herb-company-ltd-recalls-natures-wonderland-thyroid-formula-because-possible-health-risk|
|2023|Suntegrity|Suntegrity Skincare|06/12/2024|Sunscreen foundation|Drugs|Higher than acceptable microbiological mold count|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/suntegrity-skincare-issues-voluntary-recall-suntegrity-impeccable-skin-sunscreen-foundation-multiple|
|2023|Ram It, To The Moon|Integrity Products|06/11/2024|Dietary Supplements for Male Sexual Enhancement|Dietary Supplements, Drugs|Product is tainted with sildenafil and tadalafil|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/male-enhancement-supplements-recalled|
|2023|Classic Delight, Nutrisystem, Wakefield|Classic Delight LLC|06/11/2024|Individually wrapped sandwiches|Food &#x26; Beverages, Foodborne Illness|Potential contamination with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/classic-delight-llc-issues-public-health-alert-due-possible-health-risk|
|2023|Grostrong, MoorMan&#x27;s, MaxLean, Roughage Buster, Pen Pals, Patriot, Goat Power, Juniorglo, Rack Plus, Seniorglo|ADM Animal Nutrition|06/11/2024|Animal Feed Products|Animal &#x26; Veterinary|Specific lots may contain elevated levels of magnesium, sodium, calcium and&#x2f;or phosphorus|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/adm-animal-nutrition-expands-recall-include-additional-lots-various-feed-products|
|2023|Green Life Farms|Green Life Farms|06/08/2024|Baby Arugula|Food &#x26; Beverages, Foodborne Illness, Produce|Potential to be contaminated with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/green-life-farms-issues-voluntary-recall-baby-arugula-because-possible-health-risk|
|2023|StellaLife Inc.|HomeoCare Laboratories Inc.|06/05/2024|Homeopathic StellaLife Oral Care Products|Drugs|Microbial contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/homeocare-laboratories-inc-issues-voluntary-nationwide-recall-homeopathic-stella-life-oral-care|
|2023|Crecelac|Dairy Manufacturers Inc.|06/04/2024|Powdered Goat Milk Infant Formula|Food &#x26; Beverages, Foodborne Illness, Infant Formula &#x26; Foods|Cronobacter spp. contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dairy-manufacturers-inc-notifying-consumers-about-safety-concern-crecelac-infant-0-12-infant-formula|
|2023|New Seasons Market|New Seasons Market|06/04/2024|Strawberry Rhubarb Bakewell Tart|Food &#x26; Beverages, Allergens|Undeclared almonds|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/new-seasons-market-issues-allergy-alert-undeclared-almonds-strawberry-rhubarb-bakewell-tart|
|2023|Baraka|UBC Food Distributors|06/03/2024|Ground black pepper|Food &#x26; Beverages, Foodborne Illness, Spices, Flavors&#xa0;&#x26; &#xa0;Salts|Potential Contamination with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ubc-food-distributors-recalls-baraka-brand-ground-black-pepper-spice-because-possible-health-risk|
|2023|No Brand Name|Fresh Start Produce Sales, Inc.|06/01/2024|Whole Cucumbers|Food &#x26; Beverages|Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fresh-start-produce-sales-initiates-recall-whole-cucumbers-because-possible-health-risk|
|2023|Medline|Medline Industries LP|05/31/2024|SubG Endotracheal Tubes with Subglottic Suction and kits that contain these devices|Medical Devices|The inflation tube and other device components have become detached and&#x2f;or torn from the main tube, resulting in moisture buildup, loss of pressure, or inability to inflate.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/medline-industries-lp-issues-nationwide-recall-subg-endotracheal-tube-subglottic-suction|
|2023|Sagent|Sagent Pharmaceuticals|05/29/2024|Docetaxel Injection, USP|Drugs|Potential presence of particulate matter|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sagent-pharmaceuticals-issues-voluntary-nationwide-recall-docetaxel-injection-usp-due-potential|
|2023|Crecelac and Farmalac|Dairy Manufacturers Inc.|05/25/2024|Infant Formula|Food &#x26; Beverages|Food Compliance Programs &#x2013; Baby Formula|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dairy-manufacturers-inc-issues-voluntary-recall-products-due-non-compliance-requirements-under-21|
|2023|Pop a Nosh|AMB Food Inc|05/24/2024|Mixed Munch Regular and Honey BBQ|Food &#x26; Beverages|Undeclared allergen - wheat|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/amb-food-inc-issues-allergy-alert-undeclared-wheat-product|
|2023|Hospira|Hospira Inc.|05/22/2024|Buprenorphine Hydrochloride Injection Carpuject Units and Labetalol Hydrochloride Injection, USP Carpuject Units|Drugs|Device &#x26; Drug Safety &#x2013; Potential Packaging Defect|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hospira-inc-issues-voluntary-nationwide-recall-buprenorphine-hydrochloride-injection-carpujecttm|
|2023|County Road Seafood|County Road Seafood Inc.|05/22/2024|Crab Cake 2 Pack|Food &#x26; Beverages|Potential or Undeclared Allergen - Egg|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/county-road-seafood-issues-allergy-alert-undeclared-egg-4-oz-packages-county-road-seafood-crab-cake|
|2023|Green ELV Nutrition|World Green Nutrition, Inc.|05/21/2024|Elv Control Herbal Supplement|Food &#x26; Beverages, Foodborne Illness|Product contains yellow oleander|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/world-green-nutrition-inc-expands-recall-tejocote-products-due-presence-yellow-oleander|
|2023|Irving Seafood|ISF, Inc. Dba Irvington Seafood|05/20/2024|1 lb. packages of Crabmeat&#x3a; Jumbo, Lump, Finger, and Claw meat|Food &#x26; Beverages, Foodborne Illness, Shellfish|Potential Foodborne Illness - Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/irvington-seafood-recalls-crabmeat-jumbo-lump-finger-and-claw-meat-because-possible-health-risk-0|
|2023|Multiple brands|Palmer Candy Company|05/18/2024|Various Confectionary Products|Food &#x26; Beverages, Foodborne Illness|Potential Contamination with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/update-palmer-candy-company-recall-white-confectionary-products-because-possible-health-risk|
|2023|Pedigree|Mars Petcare US, Inc.|05/18/2024|Adult Complete Nutrition Grilled Steak &#x26; Vegetable Flavor Dry Dog Food|Animal &#x26; Veterinary, Food &#x26; Beverages|Potential Presence of Loose Metal Pieces|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mars-petcare-us-inc-voluntarily-recalls-315-bags-pedigreer-adult-complete-nutrition-grilled-steak|
|2023|Aldi|Reser&#x2019;s Fine Foods|05/17/2024|Macaroni Salad|Food &#x26; Beverages, Allergens|Due to Unlabeled Wheat Allergen|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/resers-fine-foods-announces-voluntary-recall-single-batch-aldi-macaroni-32-oz-salad-use-date-jun0324|
|2023|S&#x26;S Cup|Sun Noodle|05/17/2024|Saimin Noodles with Soup &#x26; Garnishes|Food &#x26; Beverages, Allergens|May contain undeclared egg white powder|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sun-noodle-issues-allergy-alert-undeclared-egg-ss-frozen-cup-saimin|
|2023|United Supermarkets|United Supermarkets|05/17/2024|Chocolate Caramel Corn and Candy Tray|Food &#x26; Beverages, Foodborne Illness|Possible Salmonella contamination.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/united-supermarkets-advises-guests-new-mexico-and-texas-palmer-candys-voluntary-recall-white-coated|
|2023|Great Value|Natural Sourcing International|05/13/2024|Organic Chia Seeds|Food &#x26; Beverages, Foodborne Illness|Potential Presence of Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/voluntary-recall-select-great-value-organic-black-chia-seeds-due-possible-presence-salmonella|
|2023|Ethicon Megadyne|Megadyne Medical Products Inc.|05/10/2024|Mega Soft Pediatric Patient Return Electrode|Medical Devices|Reports of patient burn injuries|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/megadynetm-initiates-global-discontinuation-and-voluntary-recall-mega-softtm-pediatric-patient|
|2023|Mt. Capra|Healthwest Minerals, Inc. dba Mt. Capra Products|05/10/2024|Goat Milk Formula Recipe Kit|Food &#x26; Beverages|Product does not provide sufficient nutrition when used as an infant formula|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/healthwest-minerals-inc-dba-mt-capra-products-recalls-goat-milk-formula-recipe-kit-and-warns|
|2023|First Street, Gelson&#x2019;s, bulk at Down Home Goods and Thorp Fruit|Western Mixers Produce and Nuts|05/10/2024|Yogurt covered pretzels|Food &#x26; Beverages, Foodborne Illness|Potential to be contaminated with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/western-mixers-produce-nuts-inc-recalls-yogurt-covered-pretzels-because-possible-health-risk|
|2023|FoodScience, LLC|FoodScience, LLC|05/09/2024|Amyloid Complete dietary supplement capsules|Food &#x26; Beverages, Allergens|Undeclared shellfish &#x28;shrimp, crab&#x29; allergens|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/davinci-laboratories-issues-allergy-alert-undeclared-shellfish-allergen-amyloid-complete-product-lot|
|2023|Texas Pecan Company|Texas Pecan|05/08/2024|1 lb and 8 oz nuts, snack mixes, seeds, snack sticks|Food &#x26; Beverages, Allergens|Undeclared peanut, tree nuts, soy, milk, sesame, and wheat allergens|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/texas-pecan-issues-allergy-alert-undeclared-tree-nuts-not-named-individually-soy-dairymilk-sesame|
|2023|Freshness Guaranteed, Palmer, Sweet Smiles, Snackin&#x2019; With The Crew, Casey&#x2019;s, Sconza Chocolates, Favorite Day Bakery, Sunny Select, Urge&#x21;, Kwik Trip Inc.|Palmer Candy Company|05/06/2024|Various Confectionary Products|Food &#x26; Beverages, Foodborne Illness|Potential to be contaminated with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/palmer-candy-company-recalls-white-confectionary-products-because-possible-health-risk|
|2023|HyVee|Hy-Vee Inc|05/06/2024|Plain Whipped Cream Cheese, Plain Cream Cheese, and Cookies &#x26; Cream Mix|Food &#x26; Beverages, Foodborne Illness|Potential to be contaminated with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/recall_supplier-recalls-impact-two-hy-vee-products-third-party-manufacturers-alert-retailer|
|2023|Planters|Hormel Foods Sales, LLC|05/03/2024|Honey Roasted Peanuts and Deluxe Lightly Salted Mixed Nuts|Food &#x26; Beverages, Foodborne Illness, Nuts &#x26; Nut Products|Potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hormel-foods-sales-llc-recalls-limited-number-plantersr-honey-roasted-peanuts-4-oz-and-plantersr|
|2023|Chuao Chocolatier|Chuao Chocolatier|05/03/2024|Potato Chip Mini Chocolate Bar|Food &#x26; Beverages, Allergens|Undeclared Hazelnuts|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/chuao-chocolatier-recalls-its-39-oz-11-gram-potato-chip-mini-bar-lot-4022-due-undeclared-hazelnuts|
|2023|Gibson Farms|Gibson Farms|04/30/2024|California Shelled Walnuts, Organic Light Halves and Pieces|Food &#x26; Beverages, Foodborne Illness|Due to potential Escherichia coli 0157&#x3a;H7 &#x28;E. coli&#x29; contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gibson-farms-voluntarily-recalls-organic-light-halves-and-pieces-shelled-walnuts-because-possible|
|2023|H-E-B|H-E-B|04/29/2024|Creamy Creations ice cream|Food &#x26; Beverages|Potential presence of metal fragments|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/h-e-b-issues-voluntary-recall-3-ounce-cups-creamy-creations-ice-cream-select-flavors|
|2023|PAISA|TAMA Corporation|04/26/2024|Queso de Mano PAISA|Food &#x26; Beverages|Potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tama-corporation-recalls-product-because-possible-health-risk|
|2023|Schwinnng|STOP CLOPEZ CORP|04/23/2024|Herbal Dietary Supplement|Drugs|Product is tainted with Nortadalafil|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/stop-clopez-corp-issues-voluntary-worldwide-recall-schwinnng-capsules-due-presence-undeclared|
|2023|Dr. Reddy&#x2019;s|Dr. Reddy&#x2019;s Laboratories Inc|04/23/2024|Sapropterin Dihydrochloride Powder for Oral Solution 100 mg|Drugs|Decreased Potency|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dr-reddys-issues-voluntary-nationwide-recall-sapropterin-dihydrochloride-powder-oral-solution-100-mg|
|2023|Primal Kitchen|Primal Kitchen|04/22/2024|Avocado oil|Food &#x26; Beverages|Glass prone to breakage, causing product to spill|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/primal-kitchen-issues-voluntary-recall-primal-kitchen-avocado-oil-750ml-glass-due-packaging-issue|
|2023|Infinite Herbs|Infinite Herbs LLC|04/19/2024|Fresh organic basil|Food &#x26; Beverages, Foodborne Illness|Potential to be contaminated with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/infinite-herbs-llc-voluntarily-recalls-25-ounce-fresh-organic-basil-sold-february-1-through-april-6|
|2023|Melissa&#x2019;s|Infinite Herbs LLC|04/19/2024|Fresh organic basil|Food &#x26; Beverages, Foodborne Illness|Potential to be contaminated with Salmonella.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/infinite-herbs-llc-expands-recall-fresh-organic-basil-include-melissas-brand-organic-basil-received|
|2023|Sammy&#x2019;s Milk|Sammy&#x2019;s Milk|04/18/2024|Goat Milk Toddler Formula|Food &#x26; Beverages, Infant Formula &#x26; Foods|Product does not provide sufficient nutrition when used as an infant formula|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sammys-milk-providing-warning-against-use-goat-milk-toddler-formula-infant-formula|
|2023|Nutrena Country Feeds|Cargill|04/13/2024|Meat bird 22&#x25; Crumble &#x28;RV&#x29;|Animal &#x26; Veterinary, Animal Feed|Non-inclusion of Vitamin D|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/cargill-conducts-voluntary-recall-nutrenar-country-feedsr-meatbird-22-crumble-due-non-inclusion|
|2023|Roly Poly Bakery|Roly Poly Bakery|04/12/2024|Multigrain Bread|Food &#x26; Beverages, Allergens, Bakery Product&#x2f;Mix|Undeclared Egg|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/roly-poly-bakery-issues-allergy-alert-undeclared-egg-ingredient-multigrain-bread|
|2023|Feel Good Foods|Feel Good Foods|04/12/2024|Cream Cheese Stuffed Mini Bagels|Food &#x26; Beverages|Potential or Undeclared Allergen - Gluten|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/feel-good-foods-issues-voluntary-recall-gluten-free-cream-cheese-stuffed-mini-bagels|
|2023|King Kullen|Gracie&#x2019;s Kitchens Inc.|04/12/2024|Broccoli Cutlets|Food &#x26; Beverages, Allergens|Undeclared Sesame &#x26; Wheat|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gracies-kitchen-inc-issues-allergy-alert-undeclared-sesame-and-wheat-allergens-broccoli-cutlets|
|2023|Pen Pals, MaxLean, ShowTec, MoorMan&#x27;s|ADM Animal Nutrition|04/11/2024|Chicken, Swine and Rabbit Feed Products|Animal &#x26; Veterinary|Specific lots may contain elevated levels of magnesium, sodium, calcium and&#x2f;or phosphorus|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/adm-animal-nutrition-expands-recall-include-17-additional-lots-chicken-swine-and-rabbit-feed|
|2023|Kowalski Simply Sides|Home Style Foods, Inc.|04/10/2024|Jack&#x2019;s Potato Salad|Food &#x26; Beverages, Allergens|Undeclared Egg|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/home-style-foods-inc-issues-allergy-alert-undeclared-egg-kowalski-simply-sides-jacks-potato-salad|
|2023|Johnny&#x2019;s|Oregon Spice Company|04/10/2024|Parmesan Garlic Seasoning|Food &#x26; Beverages, Allergens|Undeclared Sesame|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/oregon-spice-company-issues-allergy-alert-undeclared-sesame-johnnys-parmesan-garlic-seasoning|
|2023|Eva Nutrition, Science of Alpha, Niwali, NWL Nutra|Global Mix, Inc.|04/10/2024|Tejocote Dietary Supplements|Dietary Supplements, Food &#x26; Beverages|Product contains toxic yellow oleander.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/global-mix-inc-recalls-tejocote-products-because-possible-health-risk|
